#!,Workbook:,Custom,Custom,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,
Angle = 76,LDR_1 = 1023,LDR_2 = 1018,Error w.r.t ldr_1(red,5,5
Angle = 77,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 78,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 79,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 80,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 81,LDR_1 = 1021,LDR_2 = 1019,Error w.r.t ldr_1(red,2,2
Angle = 82,LDR_1 = 1022,LDR_2 = 1020,Error w.r.t ldr_1(red,2,2
Angle = 83,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 84,LDR_1 = 1023,LDR_2 = 1021,Error w.r.t ldr_1(red,2,2
Angle = 85,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 86,LDR_1 = 1023,LDR_2 = 1020,Error w.r.t ldr_1(red,3,3
Angle = 87,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 88,LDR_1 = 1022,LDR_2 = 1022,Error w.r.t ldr_1(red,0,0
Angle = 89,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 90,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 91,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 92,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 93,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 94,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 95,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 96,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 97,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 98,LDR_1 = 1016,LDR_2 = 1022,Error w.r.t ldr_1(red,-6,6
Angle = 99,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 100,LDR_1 = 991,LDR_2 = 1008,Error w.r.t ldr_1(red,-17,17
Angle = 101,LDR_1 = 1020,LDR_2 = 1023,Error w.r.t ldr_1(red,-3,3
Angle = 102,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 103,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 104,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 105,LDR_1 = 1014,LDR_2 = 1023,Error w.r.t ldr_1(red,-9,9
Angle = 106,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 107,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 108,LDR_1 = 1022,LDR_2 = 1021,Error w.r.t ldr_1(red,1,1
Angle = 109,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 110,LDR_1 = 1023,LDR_2 = 1018,Error w.r.t ldr_1(red,5,5
Angle = 111,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 112,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 113,LDR_1 = 1020,LDR_2 = 1023,Error w.r.t ldr_1(red,-3,3
Angle = 114,LDR_1 = 1018,LDR_2 = 1023,Error w.r.t ldr_1(red,-5,5
Angle = 115,LDR_1 = 1016,LDR_2 = 1023,Error w.r.t ldr_1(red,-7,7
Angle = 116,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 117,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 118,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 119,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 120,LDR_1 = 1013,LDR_2 = 1023,Error w.r.t ldr_1(red,-10,10
Angle = 121,LDR_1 = 1023,LDR_2 = 1019,Error w.r.t ldr_1(red,4,4
Angle = 122,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 123,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 124,LDR_1 = 1022,LDR_2 = 1018,Error w.r.t ldr_1(red,4,4
Angle = 125,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 126,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 127,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 128,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 129,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 130,LDR_1 = 1019,LDR_2 = 1023,Error w.r.t ldr_1(red,-4,4
Angle = 131,LDR_1 = 1019,LDR_2 = 1023,Error w.r.t ldr_1(red,-4,4
Angle = 132,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 133,LDR_1 = 1020,LDR_2 = 1023,Error w.r.t ldr_1(red,-3,3
Angle = 134,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 135,LDR_1 = 1012,LDR_2 = 1018,Error w.r.t ldr_1(red,-6,6
Angle = 136,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 137,LDR_1 = 1021,LDR_2 = 1019,Error w.r.t ldr_1(red,2,2
Angle = 138,LDR_1 = 1020,LDR_2 = 1022,Error w.r.t ldr_1(red,-2,2
Angle = 139,LDR_1 = 1023,LDR_2 = 1019,Error w.r.t ldr_1(red,4,4
Angle = 140,LDR_1 = 992,LDR_2 = 1023,Error w.r.t ldr_1(red,-31,31
Angle = 141,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 142,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 143,LDR_1 = 1023,LDR_2 = 1019,Error w.r.t ldr_1(red,4,4
Angle = 144,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 145,LDR_1 = 999,LDR_2 = 1008,Error w.r.t ldr_1(red,-9,9
Angle = 146,LDR_1 = 1022,LDR_2 = 1021,Error w.r.t ldr_1(red,1,1
Angle = 147,LDR_1 = 1022,LDR_2 = 1022,Error w.r.t ldr_1(red,0,0
Angle = 148,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 149,LDR_1 = 1018,LDR_2 = 1023,Error w.r.t ldr_1(red,-5,5
Angle = 150,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 151,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 152,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 153,LDR_1 = 1008,LDR_2 = 1019,Error w.r.t ldr_1(red,-11,11
Angle = 154,LDR_1 = 1021,LDR_2 = 1020,Error w.r.t ldr_1(red,1,1
Angle = 155,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 156,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 157,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 158,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 159,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 160,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 161,LDR_1 = 1022,LDR_2 = 1018,Error w.r.t ldr_1(red,4,4
Angle = 162,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 163,LDR_1 = 1023,LDR_2 = 992,Error w.r.t ldr_1(red,31,31
Angle = 164,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 165,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 166,LDR_1 = 1018,LDR_2 = 1023,Error w.r.t ldr_1(red,-5,5
Angle = 167,LDR_1 = 1022,LDR_2 = 1019,Error w.r.t ldr_1(red,3,3
Angle = 168,LDR_1 = 1023,LDR_2 = 983,Error w.r.t ldr_1(red,40,40
Angle = 169,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 170,LDR_1 = 1021,LDR_2 = 1023,Error w.r.t ldr_1(red,-2,2
Angle = 171,LDR_1 = 1013,LDR_2 = 1022,Error w.r.t ldr_1(red,-9,9
Angle = 172,LDR_1 = 1021,LDR_2 = 1019,Error w.r.t ldr_1(red,2,2
Angle = 173,LDR_1 = 1023,LDR_2 = 992,Error w.r.t ldr_1(red,31,31
Angle = 174,LDR_1 = 801,LDR_2 = 870,Error w.r.t ldr_1(red,-69,69
Angle = 175,LDR_1 = 805,LDR_2 = 879,Error w.r.t ldr_1(red,-74,74
Angle = 176,LDR_1 = 805,LDR_2 = 880,Error w.r.t ldr_1(red,-75,75
Angle = 177,LDR_1 = 800,LDR_2 = 878,Error w.r.t ldr_1(red,-78,78
Angle = 178,LDR_1 = 823,LDR_2 = 887,Error w.r.t ldr_1(red,-64,64
Angle = 179,LDR_1 = 806,LDR_2 = 880,Error w.r.t ldr_1(red,-74,74
Angle = 180,LDR_1 = 805,LDR_2 = 882,Error w.r.t ldr_1(red,-77,77
Angle = 180,LDR_1 = 800,LDR_2 = 868,Error w.r.t ldr_1(red,-68,68
Angle = 179,LDR_1 = 801,LDR_2 = 879,Error w.r.t ldr_1(red,-78,78
Angle = 178,LDR_1 = 804,LDR_2 = 880,Error w.r.t ldr_1(red,-76,76
Angle = 177,LDR_1 = 807,LDR_2 = 880,Error w.r.t ldr_1(red,-73,73
Angle = 176,LDR_1 = 804,LDR_2 = 879,Error w.r.t ldr_1(red,-75,75
Angle = 175,LDR_1 = 804,LDR_2 = 879,Error w.r.t ldr_1(red,-75,75
Angle = 174,LDR_1 = 804,LDR_2 = 879,Error w.r.t ldr_1(red,-75,75
Angle = 173,LDR_1 = 807,LDR_2 = 881,Error w.r.t ldr_1(red,-74,74
Angle = 172,LDR_1 = 805,LDR_2 = 882,Error w.r.t ldr_1(red,-77,77
Angle = 171,LDR_1 = 806,LDR_2 = 879,Error w.r.t ldr_1(red,-73,73
Angle = 170,LDR_1 = 805,LDR_2 = 880,Error w.r.t ldr_1(red,-75,75
Angle = 169,LDR_1 = 806,LDR_2 = 878,Error w.r.t ldr_1(red,-72,72
Angle = 168,LDR_1 = 806,LDR_2 = 875,Error w.r.t ldr_1(red,-69,69
Angle = 167,LDR_1 = 804,LDR_2 = 871,Error w.r.t ldr_1(red,-67,67
Angle = 166,LDR_1 = 799,LDR_2 = 858,Error w.r.t ldr_1(red,-59,59
Angle = 165,LDR_1 = 796,LDR_2 = 851,Error w.r.t ldr_1(red,-55,55
Angle = 164,LDR_1 = 795,LDR_2 = 850,Error w.r.t ldr_1(red,-55,55
Angle = 163,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 162,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 161,LDR_1 = 1022,LDR_2 = 1023,Error w.r.t ldr_1(red,-1,1
Angle = 160,LDR_1 = 786,LDR_2 = 846,Error w.r.t ldr_1(red,-60,60
Angle = 159,LDR_1 = 777,LDR_2 = 841,Error w.r.t ldr_1(red,-64,64
Angle = 158,LDR_1 = 771,LDR_2 = 841,Error w.r.t ldr_1(red,-70,70
Angle = 157,LDR_1 = 762,LDR_2 = 834,Error w.r.t ldr_1(red,-72,72
Angle = 156,LDR_1 = 762,LDR_2 = 829,Error w.r.t ldr_1(red,-67,67
Angle = 155,LDR_1 = 758,LDR_2 = 826,Error w.r.t ldr_1(red,-68,68
Angle = 154,LDR_1 = 751,LDR_2 = 816,Error w.r.t ldr_1(red,-65,65
Angle = 153,LDR_1 = 742,LDR_2 = 807,Error w.r.t ldr_1(red,-65,65
Angle = 152,LDR_1 = 740,LDR_2 = 800,Error w.r.t ldr_1(red,-60,60
Angle = 151,LDR_1 = 733,LDR_2 = 794,Error w.r.t ldr_1(red,-61,61
Angle = 150,LDR_1 = 727,LDR_2 = 788,Error w.r.t ldr_1(red,-61,61
Angle = 149,LDR_1 = 717,LDR_2 = 783,Error w.r.t ldr_1(red,-66,66
Angle = 148,LDR_1 = 709,LDR_2 = 776,Error w.r.t ldr_1(red,-67,67
Angle = 147,LDR_1 = 701,LDR_2 = 774,Error w.r.t ldr_1(red,-73,73
Angle = 146,LDR_1 = 704,LDR_2 = 775,Error w.r.t ldr_1(red,-71,71
Angle = 145,LDR_1 = 690,LDR_2 = 766,Error w.r.t ldr_1(red,-76,76
Angle = 144,LDR_1 = 685,LDR_2 = 761,Error w.r.t ldr_1(red,-76,76
Angle = 143,LDR_1 = 671,LDR_2 = 753,Error w.r.t ldr_1(red,-82,82
Angle = 142,LDR_1 = 660,LDR_2 = 747,Error w.r.t ldr_1(red,-87,87
Angle = 141,LDR_1 = 671,LDR_2 = 736,Error w.r.t ldr_1(red,-65,65
Angle = 140,LDR_1 = 648,LDR_2 = 734,Error w.r.t ldr_1(red,-86,86
Angle = 139,LDR_1 = 642,LDR_2 = 728,Error w.r.t ldr_1(red,-86,86
Angle = 138,LDR_1 = 640,LDR_2 = 722,Error w.r.t ldr_1(red,-82,82
Angle = 137,LDR_1 = 632,LDR_2 = 724,Error w.r.t ldr_1(red,-92,92
Angle = 136,LDR_1 = 623,LDR_2 = 714,Error w.r.t ldr_1(red,-91,91
Angle = 135,LDR_1 = 616,LDR_2 = 711,Error w.r.t ldr_1(red,-95,95
Angle = 134,LDR_1 = 603,LDR_2 = 703,Error w.r.t ldr_1(red,-100,100
Angle = 133,LDR_1 = 613,LDR_2 = 704,Error w.r.t ldr_1(red,-91,91
Angle = 132,LDR_1 = 594,LDR_2 = 691,Error w.r.t ldr_1(red,-97,97
Angle = 131,LDR_1 = 584,LDR_2 = 683,Error w.r.t ldr_1(red,-99,99
Angle = 130,LDR_1 = 578,LDR_2 = 679,Error w.r.t ldr_1(red,-101,101
Angle = 129,LDR_1 = 576,LDR_2 = 674,Error w.r.t ldr_1(red,-98,98
Angle = 128,LDR_1 = 580,LDR_2 = 676,Error w.r.t ldr_1(red,-96,96
Angle = 127,LDR_1 = 562,LDR_2 = 664,Error w.r.t ldr_1(red,-102,102
Angle = 126,LDR_1 = 558,LDR_2 = 656,Error w.r.t ldr_1(red,-98,98
Angle = 125,LDR_1 = 552,LDR_2 = 654,Error w.r.t ldr_1(red,-102,102
Angle = 124,LDR_1 = 548,LDR_2 = 652,Error w.r.t ldr_1(red,-104,104
Angle = 123,LDR_1 = 560,LDR_2 = 657,Error w.r.t ldr_1(red,-97,97
Angle = 122,LDR_1 = 538,LDR_2 = 641,Error w.r.t ldr_1(red,-103,103
Angle = 121,LDR_1 = 532,LDR_2 = 636,Error w.r.t ldr_1(red,-104,104
Angle = 120,LDR_1 = 526,LDR_2 = 629,Error w.r.t ldr_1(red,-103,103
Angle = 119,LDR_1 = 522,LDR_2 = 623,Error w.r.t ldr_1(red,-101,101
Angle = 118,LDR_1 = 518,LDR_2 = 622,Error w.r.t ldr_1(,-104,104
Angle = 117,LDR_1 = 517,LDR_2 = 620,Error w.r.t ldr_1(red,-103,103
Angle = 116,LDR_1 = 524,LDR_2 = 623,Error w.r.t ldr_1(red,-99,99
Angle = 115,LDR_1 = 509,LDR_2 = 613,Error w.r.t ldr_1(red,-104,104
